state,year,black,metro,unem,criv,crip,ag0_14,ag15_17,ag18_24,ag25_34,incpc,polpc,pris
3,83,0.0286,0.7627,0.09117,4.931627,58.85483,0.2270125,0.0458067,0.1289997,0.1751432,11228.5,288.2115,209.2734
3,84,0.0288,0.7666,0.04933,5.137268,59.55983,0.2262798,0.0449951,0.1248777,0.177372,12285.7,284.4799,227.1135
3,85,0.029,0.7705,0.06508,6.030779,65.19818,0.2255025,0.0452261,0.120603,0.178706,13219.92,282.1294,249.299
3,86,0.0292,0.7744,0.06925,6.600665,66.81227,0.2224909,0.0456469,0.1169891,0.1804716,13993.29,288.3011,259.8304
3,87,0.0294,0.7783,0.06275,6.034914,64.78411,0.2234507,0.0448065,0.113762,0.1800989,14526.11,288.7984,273.2164
3,88,0.0296,0.7822,0.06258,5.982178,67.27242,0.2240453,0.0432815,0.1117397,0.1790665,15063.99,291.7963,307.1865
3,89,0.0298,0.7861,0.05225,5.88625,73.24241,0.2274986,0.0411375,0.109884,0.1758697,15639.46,294.1607,341.2447
3,90,0.03,0.79,0.05325,6.495789,72.05352,0.2292855,0.0404781,0.1070361,0.1722358,16254.54,298.6688,354.5831
3,91,0.0302,0.7939,0.057,6.714362,67.42098,0.2314469,0.0397758,0.1033102,0.1692472,16758.82,338.441,375.7946
3,92,0.0304,0.7978,0.074,6.708246,63.57751,0.2330376,0.0401879,0.1004697,0.1651879,17484.72,335.1775,397.544
3,93,0.0306,0.8017,0.062,7.149899,67.16743,0.2317073,0.0401423,0.0988313,0.1618394,18119.16,341.9969,416.1013
4,80,0.163,0.387,0.07608,3.349081,34.72878,0.2370954,0.0568679,0.1216098,0.1465442,7384.177,200.3937,131.2197
4,81,0.1626,0.3884,0.091,3.104666,34.87658,0.2333188,0.0532054,0.122983,0.1504579,8304.127,192.8478,127.3403
4,82,0.1622,0.3898,0.09775,3.242371,35.42241,0.2306016,0.0501308,0.1233653,0.1495205,8646.841,194.9433,145.1374
4,83,0.1618,0.3912,0.10125,3.005204,32.33435,0.2281006,0.0477016,0.123157,0.150477,9099.015,192.8014,170.9677
4,84,0.1614,0.3926,0.08942,3.253879,30.84224,0.2262931,0.0469828,0.1206897,0.1512931,10052.48,195.431,183.2611
4,85,0.161,0.394,0.08633,3.523421,32.81994,0.2247529,0.0472712,0.1173184,0.1521272,10674.93,197.2926,193.1897
4,86,0.1606,0.3954,0.08758,4.015866,35.90437,0.2212693,0.0484563,0.1136364,0.1535163,11209.11,201.9297,203.0941
4,87,0.1602,0.3968,0.081,4.20111,39.08497,0.2203245,0.0482494,0.1097353,0.1545687,11613.97,204.6115,221.2264
4,88,0.1598,0.3982,0.07667,4.369185,39.24968,0.2206573,0.0473752,0.1058472,0.1545028,12289.02,208.0666,234.4577
4,89,0.1594,0.3996,0.07242,4.858056,41.86403,0.2208014,0.0456095,0.1031543,0.1538789,13086.79,211.5942,250.064
4,90,0.159,0.401,0.06883,5.312527,43.26836,0.2199575,0.044586,0.1010616,0.152017,13779.28,214.5648,279.0281
4,91,0.1586,0.4024,0.073,5.935049,45.83593,0.2193168,0.0442851,0.1012231,0.1488823,14456.48,233.9941,308.8747
4,92,0.1582,0.4038,0.072,5.77736,41.93901,0.2176274,0.0446951,0.1015038,0.1453634,15585.84,237.8028,325.6854
4,93,0.1578,0.4052,0.062,5.932756,42.1745,0.2169967,0.044967,0.1018977,0.1419142,15996.54,214.8515,342.3141
5,80,0.077,0.953,0.06808,8.884993,68.99789,0.2177624,0.0521379,0.1374007,0.1792716,11744.41,268.9834,91.41334
5,81,0.0767,0.9534,0.074,8.584576,66.92342,0.2160092,0.0487524,0.1359219,0.1871448,12837.08,269.361,98.29305
5,82,0.0764,0.9538,0.0995,8.115592,64.45717,0.2161966,0.046253,0.1336019,0.1890814,13410.31,265.9549,114.9345
5,83,0.0761,0.9542,0.09667,7.669203,58.61542,0.2167192,0.0445978,0.1307177,0.1917192,14109.53,267.2358,135.3062
5,84,0.0758,0.9546,0.07775,7.568062,56.55978,0.2160269,0.0441495,0.1276505,0.1938167,15374.94,266.6422,149.9408
5,85,0.0755,0.955,0.07192,7.630687,57.36205,0.2154608,0.0443629,0.1246549,0.1953406,16314.83,260.947,161.167
5,86,0.0752,0.9554,0.06675,9.164268,58.16172,0.2151133,0.0448306,0.121467,0.1961848,17082.51,267.5338,182.7692
5,87,0.0749,0.9558,0.05767,9.142204,55.65496,0.2163661,0.0437052,0.1193073,0.1960975,17830.94,265.5974,212.9917
5,88,0.0746,0.9562,0.053,9.201518,56.4636,0.2182055,0.0417018,0.1179385,0.1952642,18705.87,263.6418,233.3297
5,89,0.0743,0.9566,0.05083,9.72469,57.55069,0.2206859,0.0394277,0.1172907,0.1933397,19619.92,266.4043,259.2046
5,90,0.074,0.957,0.05617,10.40687,55.34431,0.2248988,0.0388103,0.1146576,0.1903041,20665.76,269.7748,288.6508
5,91,0.0737,0.9574,0.075,10.88966,56.7761,0.2308679,0.0379189,0.1087907,0.1881804,20879.94,292.5116,314.9052
5,92,0.0734,0.9578,0.091,11.18705,55.5474,0.2345363,0.0380644,0.103609,0.1851432,21599.55,285.4086,323.9879
5,93,0.0731,0.9582,0.092,10.77764,53.79142,0.2374163,0.0379033,0.099388,0.1816347,21883.38,274.7429,341.3724
6,80,0.035,0.805,0.0585,5.264706,67.77578,0.2266436,0.0529412,0.1446367,0.1972318,10688.29,274.1176,93.2959
6,81,0.0355,0.806,0.05533,5.290463,67.87072,0.2256548,0.049362,0.1396911,0.2038281,11953.02,268.6703,90.27682
6,82,0.036,0.807,0.07742,5.014369,65.3919,0.2250163,0.0467015,0.1345526,0.204115,12757.4,275.1143,93.01544
6,83,0.0365,0.808,0.06675,4.771857,61.60498,0.2255903,0.0449904,0.1289087,0.2042119,13371.83,262.9866,107.3155
6,84,0.037,0.809,0.0565,4.589274,60.28518,0.2242902,0.044795,0.1230284,0.2037855,14288.07,272.1451,110.2425
6,85,0.0375,0.81,0.05875,4.742599,64.92241,0.2234341,0.045497,0.1177937,0.2028669,14778.17,270.3646,106.9401
6,86,0.038,0.811,0.07417,5.284214,65.68613,0.2224282,0.0460303,0.1124498,0.2008032,15065.09,275.3167,113.1505
6,87,0.0385,0.812,0.07667,4.726687,60.49847,0.2236196,0.045092,0.1082822,0.1972393,15503.43,276.8865,128.1124
6,88,0.039,0.813,0.06442,4.766401,57.54721,0.2244022,0.0426119,0.1057633,0.1931331,16543.71,280.2268,153.865
6,89,0.0395,0.814,0.05792,4.772894,56.37729,0.224359,0.0399878,0.1040904,0.1886447,17766.16,278.5867,186.5727
6,90,0.04,0.815,0.04958,5.236628,55.03355,0.2233303,0.0389846,0.1021457,0.1843457,18785.9,275.3702,223.3822
6,91,0.0405,0.816,0.05,5.604451,55.26261,0.2240356,0.0385757,0.0997033,0.179822,19743.74,314.6291,231.8223
6,92,0.041,0.817,0.059,5.796825,53.87706,0.2233766,0.0392496,0.0984127,0.1743146,20574.92,314.43,249.0208
6,93,0.0415,0.818,0.052,5.672742,49.59507,0.2234997,0.0398205,0.0970275,0.169097,21475.22,316.2647,259.6537
7,80,0.07,0.927,0.05867,4.108108,54.46686,0.2081725,0.0566281,0.1238739,0.1579794,12186.14,264.0283,69.08914
7,81,0.0713,0.9267,0.0615,4.484819,53.94375,0.2013423,0.05465,0.1252797,0.1629914,13508.01,262.0965,88.48134
7,82,0.0726,0.9264,0.06925,4.013062,50.50398,0.1965594,0.0519274,0.1255177,0.1627907,14492.88,264.6066,106.999
7,83,0.0739,0.9261,0.06025,3.721379,45.679,0.1938646,0.0493359,0.1252372,0.1647691,15412.57,264.1682,99.68143
7,84,0.0752,0.9258,0.04608,3.906289,42.00409,0.190566,0.0477987,0.1238994,0.1669811,17098.25,264.1824,113.1246
7,85,0.0765,0.9255,0.0485,3.98563,42.66542,0.1880662,0.0471728,0.1221493,0.1693221,18270.51,270.353,117.8616
7,86,0.0778,0.9252,0.03792,4.211538,43.5518,0.1867246,0.0468362,0.1194169,0.171526,19675.94,275.4342,126.3043
7,87,0.0791,0.9249,0.03317,4.143825,45.25962,0.1869418,0.0443486,0.1164152,0.1736988,21239.51,279.6736,134.1811
7,88,0.0804,0.9246,0.02992,4.510697,45.98258,0.1885697,0.0409535,0.1133863,0.1757335,23163.31,283.6797,142.8087
7,89,0.0817,0.9243,0.03642,5.04904,46.94456,0.1912885,0.0374657,0.1096558,0.1772769,24551.08,279.4395,144.346
7,90,0.083,0.924,0.05083,5.535584,48.31721,0.1940389,0.0358881,0.1046229,0.1767032,25435.79,275.7299,192.1718
7,91,0.0843,0.9237,0.067,5.39848,48.25836,0.1969605,0.0349544,0.0990881,0.1735562,25847.44,262.0365,236.3443
7,92,0.0856,0.9234,0.075,4.956389,45.60384,0.199451,0.0350717,0.0936261,0.168954,27155.42,268.6795,260.9422
7,93,0.0869,0.9231,0.062,4.561794,41.94172,0.2014037,0.0350931,0.0891059,0.1638694,27959.99,270.4303,268.1915
8,80,0.161,0.67,0.0775,4.754209,63.10101,0.2222222,0.0572391,0.1397306,0.1599327,10373.76,268.0135,182.8571
8,81,0.1618,0.6693,0.08,5.107383,62.01007,0.2164429,0.0553691,0.1426174,0.1644295,11303.4,264.2617,182.9966
8,82,0.1626,0.6686,0.084,5.626043,58.54257,0.2153589,0.0517529,0.1419032,0.1652755,12035.15,252.5876,209.396
8,83,0.1634,0.6679,0.08083,4.538843,50.21157,0.214876,0.0479339,0.138843,0.1669422,12803.12,249.0909,252.5876
8,84,0.1642,0.6672,0.06167,4.364379,45.78595,0.2124183,0.0457516,0.1356209,0.1699346,13731.08,253.4314,260.9917
8,85,0.165,0.6665,0.05367,4.360841,45.57281,0.2119741,0.0453074,0.1326861,0.1731392,14712.62,259.3851,252.6144
8,86,0.1658,0.6658,0.04333,4.30414,44.3965,0.2085987,0.0461783,0.1273885,0.1767516,15531.66,262.8981,284.6278
8,87,0.1666,0.6651,0.03333,4.354788,45.57614,0.2072214,0.043956,0.122449,0.1789639,16365.98,274.0973,311.465
8,88,0.1674,0.6644,0.03158,4.600308,44.27932,0.2083333,0.0416667,0.1203704,0.1790123,17547.23,284.1049,338.9325
8,89,0.1682,0.6637,0.03583,5.691489,44.06991,0.2082067,0.0379939,0.1170213,0.1793313,18875,292.1732,340.5864
8,90,0.169,0.663,0.05233,6.524663,46.85202,0.2092676,0.0373692,0.1136024,0.1778774,19720.51,299.5515,347.1125
8,91,0.1698,0.6623001,0.062,7.132159,51.47577,0.2099853,0.0367107,0.1101322,0.1762114,20310.53,282.8194,334.9776
8,92,0.1706,0.6616001,0.053,6.193922,42.15051,0.211288,0.0361794,0.105644,0.1736614,21098.41,285.6729,363.1425
8,93,0.1714,0.6608999,0.053,6.858572,41.86286,0.2128572,0.0371429,0.1014286,0.17,21743.47,374.5714,391.4617
9,80,0.703,1,0.074,20.75549,81.16457,0.177116,0.0470219,0.1520376,0.19279,12500.66,678.8401,399.8462
9,81,0.6985,1,0.08867,23.61852,85.54945,0.1726845,0.0455259,0.1507064,0.2009419,13627.72,656.3579,426.1755
9,82,0.694,1,0.10417,21.9164,83.58202,0.170347,0.0425868,0.1498423,0.2066246,14672.9,692.2713,460.2826
9,83,0.6895,1,0.11592,19.5712,73.61392,0.1661392,0.039557,0.1471519,0.210443,15442.86,697.6266,528.5489
9,84,0.685,1,0.09075,17.71406,68.88152,0.164297,0.0394945,0.1437599,0.2132701,16680.06,696.0505,548.2595
9,85,0.6805,1,0.08367,16.02992,62.90394,0.1637795,0.0393701,0.1385827,0.215748,17534.3,703.937,587.3618
9,86,0.676,1,0.07733,14.76959,67.05486,0.1630094,0.0407523,0.1332288,0.2178683,18060.77,701.7241,725.0394
9,87,0.6715,1,0.06342,15.72371,66.8022,0.1632653,0.0392465,0.1302983,0.2166405,19272.28,712.4803,750.3135
9,88,0.667,1,0.04842,18.91111,78.6619,0.1634921,0.0380952,0.131746,0.2111111,21301.71,730.1587,881.3187
9,89,0.6625,1,0.05075,20.73237,78.90224,0.1650641,0.0336538,0.1330128,0.2051282,22800.19,808.0129,1052.063
9,90,0.6580001,1,0.06733,24.70033,83.5596,0.1655629,0.031457,0.1357616,0.2003311,24632.48,907.9471,1065.705
9,91,0.6535,1,0.077,24.69865,83.70707,0.1700337,0.0286195,0.1279461,0.2003367,26104.52,866.6667,1125.497
9,92,0.649,1,0.084,28.52137,86.32821,0.1709402,0.0273504,0.1196581,0.2017094,28323.25,890.0855,1196.296
9,93,0.6445,1,0.085,29.21799,88.39273,0.1730104,0.0259516,0.1107266,0.200692,29859.47,903.4602,1286.838
10,80,0.138,0.9030001,0.05867,9.65473,72.82269,0.1925918,0.0495588,0.1169711,0.1447773,9930.263,286.6099,205.888
10,81,0.1378,0.9035,0.06808,9.625134,70.48661,0.1894437,0.0466006,0.1171392,0.151967,10945.32,295.4773,207.3774
10,82,0.1376,0.904,0.08167,8.920924,65.33913,0.1870881,0.0439309,0.1160348,0.1538535,11502.04,299.5894,227.6072
10,83,0.1374,0.9044999,0.08617,8.213209,59.15665,0.1851163,0.0414884,0.1147907,0.1568372,12363.52,290.586,259.1825
10,84,0.1372,0.905,0.06317,8.629529,59.18741,0.1833333,0.040308,0.1123188,0.1593297,13255.31,294.3025,236.2139
10,85,0.137,0.9055001,0.05983,9.423927,66.41864,0.1823628,0.0400846,0.1091534,0.1617479,14182.3,294.6965,242.3822
10,86,0.1368,0.906,0.05717,10.37136,71.96186,0.1818649,0.0407096,0.1054165,0.1635242,15022.85,305.6394,250.9206
10,87,0.1366,0.9065,0.05333,10.26657,74.94932,0.1818788,0.0401767,0.1021922,0.1647912,15800.42,314.7245,276.2084
10,88,0.1364,0.9069999,0.04992,11.24191,78.65017,0.1842191,0.0386803,0.0989761,0.1648789,16668.82,323.8502,269.7341
10,89,0.1362,0.9075,0.05608,11.1232,77.1516,0.1861054,0.0362399,0.0967716,0.164583,18042.76,327.4964,281.8219
10,90,0.136,0.9080001,0.05933,12.37908,75.27443,0.1886967,0.0349865,0.093887,0.1627835,18808.49,330.0654,316.2368
10,91,0.1358,0.9085,0.073,11.84683,73.65102,0.1921947,0.0343555,0.0901831,0.1592707,19202.92,391.5392,341.2534
10,92,0.1356,0.909,0.082,12.07647,71.53697,0.195728,0.034562,0.0869984,0.1541942,19685.37,392.6352,350.5688
10,93,0.1354,0.9094999,0.07,12.06046,71.44989,0.1970904,0.0345786,0.0848015,0.1489144,20710.34,411.7845,358.1176
11,80,0.268,0.623,0.064,5.490207,49.90884,0.243639,0.0576606,0.1339923,0.1702361,8389.497,250.2654,215.997
11,81,0.2682,0.6257,0.064,5.482579,50.81286,0.2395833,0.0549569,0.1334411,0.1756466,9287.362,253.4124,218.2318
11,82,0.2684,0.6284,0.07817,4.772213,47.2738,0.2364602,0.0522124,0.1325664,0.1759292,9883.217,249.9292,222.2881
11,83,0.2686,0.6311,0.07492,4.570356,40.51362,0.233764,0.0497556,0.1316341,0.1770251,10706.43,248.5859,248.4602
11,84,0.2688,0.6338,0.06025,4.787489,40.20926,0.2301628,0.0486718,0.1299057,0.1784062,11975.58,239.1431,260.7367
11,85,0.269,0.6365,0.06542,5.083179,46.12946,0.2279054,0.0486332,0.1272849,0.1797753,12864.85,239.8122,250.1457
11,86,0.2692,0.6392,0.05925,5.894659,48.82991,0.2248151,0.0496302,0.1239113,0.1812654,13799.01,246.7707,257.6388
11,87,0.2694,0.6419,0.05475,5.777706,52.27303,0.2229381,0.0489691,0.1206508,0.1823453,14547.68,266.8653,260.4766
11,88,0.2696,0.6446,0.058,6.743033,57.37429,0.2234009,0.0474984,0.1182711,0.1825522,15487.56,286.8588,285.5026
11,89,0.2698,0.6473,0.05533,7.386835,63.62003,0.2246139,0.0449228,0.1163625,0.1817189,16250.79,281.2198,285.2755
11,90,0.27,0.65,0.0545,7.52858,59.79794,0.2244929,0.0431776,0.1140135,0.1807007,17118.39,275.6607,306.0209
11,91,0.2702,0.6526999,0.05,7.376886,57.5083,0.224653,0.0419433,0.1110441,0.178787,17635.96,342.4412,332.9902
11,92,0.2704,0.6554,0.069,7.30784,56.53831,0.2244205,0.0417836,0.1086668,0.17555,18472.79,371.9622,347.1485
11,93,0.2706,0.6580999,0.058,7.231314,54.69828,0.2243747,0.0417811,0.1066936,0.1718953,19203.7,368.2811,366.8684
12,80,0.018,0.79,0.04792,2.993782,71.80415,0.2341969,0.0518135,0.1471503,0.1865285,10809.41,260.1036,56.55824
12,81,0.0187,0.7865,0.05317,2.478528,63.0225,0.2321063,0.0490798,0.1421268,0.1912065,11495.65,265.2352,64.66322
12,82,0.0194,0.7830001,0.06742,2.557344,63.28571,0.2303823,0.0462777,0.1368209,0.1921529,12004.81,264.4869,77.40286
12,83,0.0201,0.7794999,0.0635,2.545903,56.12339,0.2300099,0.0444225,0.1322804,0.1924975,12948.29,267.6209,90.84507
12,84,0.0208,0.776,0.05708,2.343385,53.08657,0.229572,0.0437743,0.1274319,0.192607,13588.55,266.3424,105.1333
12,85,0.0215,0.7725,0.05625,2.224038,50.48173,0.2278846,0.0442308,0.1221154,0.1913462,14336.78,268.2692,129.3774
12,86,0.0222,0.769,0.04883,2.475285,54.77757,0.223384,0.0446768,0.1197719,0.1901141,15261.18,265.019,137.3077
12,87,0.0229,0.7655,0.03883,2.669476,56.32678,0.2200375,0.0430712,0.1179775,0.1872659,16088.25,276.6854,144.5817
12,88,0.0236,0.762,0.03083,2.601852,58.00926,0.2185185,0.0416667,0.1148148,0.1851852,17521.79,289.0741,143.4457
12,89,0.0243,0.7585,0.02475,2.743379,60.93425,0.2173516,0.0392694,0.1123288,0.1835617,19138.66,290.6849,139.8148
12,90,0.025,0.755,0.02783,2.794435,57.95601,0.2163375,0.037702,0.1095153,0.1804309,20885.39,291.2029,160
12,91,0.0257,0.7515,0.028,2.417621,57.28634,0.2167401,0.0370044,0.1057269,0.1779736,21620.05,289.0749,153.3214
12,92,0.0264,0.748,0.045,2.593426,58.73789,0.216263,0.0371972,0.1029412,0.1730104,22414.87,293.2526,155.5947
12,93,0.0271,0.7445,0.042,2.611775,60.15785,0.2175768,0.0375427,0.1006826,0.1680887,23369.5,288.7372,192.2145
13,80,0.003,0.183,0.07925,3.132415,44.67055,0.2711864,0.0540254,0.1302966,0.1641949,8474.252,240.4661,88.96034
13,81,0.003,0.1851,0.07492,2.824324,42.342,0.2723493,0.0509356,0.1268191,0.1673597,9103.046,239.3971,86.54662
13,82,0.003,0.1872,0.09942,2.567762,37.88706,0.2731006,0.0492813,0.1232033,0.1652977,9288.253,241.3758,99.48025
13,83,0.003,0.1893,0.09842,2.404277,36.52953,0.2718941,0.0478615,0.1191446,0.1649694,10070.96,226.6803,107.1869
13,84,0.003,0.1914,0.0715,2.376388,34.71039,0.271443,0.0474268,0.1150353,0.1634712,10640.81,232.997,120.8758
13,85,0.003,0.1935,0.07958,2.374245,37.13883,0.2686117,0.0482897,0.11167,0.1629779,11107.58,234.004,126.4379
13,86,0.003,0.1956,0.08683,2.254545,40.36768,0.2656566,0.0494949,0.1060606,0.1626263,11553.66,229.1919,136.1167
13,87,0.003,0.1977,0.08042,2.170558,39.94112,0.2629442,0.0497462,0.1025381,0.1614213,12029.43,232.1827,146.2626
13,88,0.003,0.1998,0.05875,2.378296,37.87525,0.2616633,0.0486815,0.0993915,0.158215,12847.87,233.7728,150.0508
13,89,0.003,0.2019,0.051,2.597585,37.50302,0.2605634,0.0472837,0.0985915,0.1549296,14327.19,252.6157,180.6288
13,90,0.003,0.204,0.0585,2.740375,37.58046,0.2596249,0.0483712,0.0977295,0.1510365,15283.64,268.2132,199.1952
13,91,0.003,0.2061,0.061,2.905588,39.09249,0.2581888,0.0491329,0.0992293,0.1454721,15850.01,254.6243,205.7256
13,92,0.003,0.2082,0.065,2.817073,37.18199,0.2532833,0.0515947,0.1013133,0.141651,16674.55,257.5985,216.3776
13,93,0.003,0.2103,0.061,2.818016,35.6333,0.2502275,0.0518653,0.1046406,0.1373976,17541.93,244.131,229.6435
14,80,0.147,0.817,0.08267,4.911875,47.50862,0.2284939,0.0553076,0.1319681,0.1623348,10888.52,331.1718,99.68413
14,81,0.1471,0.818,0.08508,4.4456,45.10862,0.2266888,0.0524338,0.130735,0.1683125,12045.94,326.7937,93.84791
14,82,0.1472,0.819,0.11317,4.54828,43.72844,0.2255099,0.0499869,0.1287753,0.1690449,12534.35,326.7093,122.3718
14,83,0.1473,0.82,0.11425,7.33009,48.45797,0.2244719,0.0479446,0.1262161,0.1710053,13064.73,321.6496,122.1133
14,84,0.1474,0.821,0.09133,7.311689,46.19033,0.2235366,0.0471434,0.1232037,0.1727129,14303.78,322.6428,136.0505
14,85,0.1475,0.822,0.09042,7.144737,46.50921,0.2217544,0.0471053,0.1199123,0.1742982,15077.3,314.114,149.965
14,86,0.1476,0.823,0.08108,8.207078,48.15237,0.2200755,0.0479494,0.1158338,0.1751998,15896.33,334.4077,163.4561
14,87,0.1477,0.824,0.07358,8.095514,46.97797,0.2187692,0.0471425,0.1124572,0.1759284,16682.98,329.2248,170.8615
14,88,0.1478,0.825,0.068,8.21396,48.7547,0.2178226,0.0450395,0.1100966,0.176295,17727.74,324.1879,174.2604
14,89,0.1479,0.826,0.05975,8.642507,48.97485,0.2182296,0.042156,0.108326,0.1754601,19070.43,325.6179,185.0834
14,90,0.148,0.827,0.06142,9.658049,49.59743,0.2185344,0.0407022,0.1060355,0.1736396,20158.07,326.5001,216.5819
14,91,0.1481,0.828,0.071,10.40824,51.00807,0.2197831,0.0399132,0.1030803,0.1712798,20621.08,339.115,240.3354
14,92,0.1482,0.829,0.075,9.787652,47.95488,0.2207009,0.0402997,0.1002325,0.1676569,21780.63,330.8275,252.6247
14,93,0.1483,0.83,0.074,9.597333,46.58194,0.2217663,0.0405232,0.0980593,0.1633752,22534.89,333.9147,272.4533
15,80,0.076,0.677,0.09592,3.758288,45.28579,0.2380692,0.0568306,0.1342441,0.1591985,9219.426,211.0018,95.80077
15,81,0.0762,0.6778,0.10067,3.407299,41.87445,0.234854,0.0536496,0.1335766,0.1638686,10093.18,213.5401,114.408
15,82,0.0764,0.6786,0.11942,3.007315,41.312,0.2324433,0.0510241,0.1322238,0.1634967,10394.2,217.1361,137.938
15,83,0.0766,0.6794,0.11067,2.852661,38.66514,0.2302752,0.0486239,0.1299083,0.1651376,10915.36,213.1743,151.7008
15,84,0.0768,0.6802,0.08633,3.074569,36.50751,0.2273727,0.0478197,0.1262367,0.1667277,12023.19,209.509,164.6422
15,85,0.077,0.681,0.07875,3.116688,36.31068,0.2247664,0.047811,0.1225499,0.1683459,12637.56,208.5181,166.0498
15,86,0.0772,0.6818,0.0675,3.105427,35.7963,0.2211221,0.0489549,0.1180785,0.1697837,13370.09,213.9347,178.9155
15,87,0.0774,0.6826,0.06367,3.319752,38.31445,0.2188928,0.0486022,0.1145624,0.1699251,14064.83,216.8829,182.6733
15,88,0.0776,0.6834,0.05317,3.857793,38.26966,0.2181355,0.0469774,0.1123452,0.1691551,14912.79,219.8106,194.2993
15,89,0.0778,0.6842,0.04733,4.115677,40.83852,0.2195873,0.0443519,0.1106082,0.1670891,15971.63,220.0398,205.2258
15,90,0.078,0.685,0.05308,4.728271,41.99676,0.2197229,0.0431888,0.1092316,0.1642973,16810.39,220.2267,230.7205
15,91,0.0782,0.6858,0.059,5.056002,43.14785,0.2186552,0.0426253,0.1084359,0.1614054,17273.22,227.0555,240.6334
15,92,0.0784,0.6866,0.065,5.088547,41.81407,0.2163309,0.0427713,0.1076352,0.1580064,18384.93,236.7444,254.8065
